userId,MovieID,tag
15,4973,excellent!
20,1747,politics
20,1747,satire
20,2424,chick flick 212
20,2424,hanks
20,2424,ryan
20,2947,action
20,2947,bond
20,3033,spoof
20,3033,star wars
20,7438,bloody
20,7438,kung fu
20,7438,Tarantino
21,55247,R
21,55253,NC-17
25,50,Kevin Spacey
25,6709,Johnny Depp
31,65,buddy comedy
31,546,strangely compelling
31,1091,catastrophe
31,2116,Epic
31,6373,comedy of manners
32,49272,product placement
39,277,classic
39,724,goth
39,1249,woman
39,1267,classic
39,2105,computer
48,54290,Why the terrorists hate us
48,54775,The Director Should be given a grammy
49,198,Ralph Fiennes
49,261,Winona Ryder
49,1597,Julia Roberts
49,1597,Mel Gibson
49,1729,Quinten Tarantino
49,1747,Robert De Niro
49,2023,Al Pacino
49,2424,Meg Ryan
49,2424,Tom Hanks
49,2947,Bond James Bond
49,3033,comedy
49,3033,John Candy
49,3033,Rick Moranis
49,7438,Quinten Tarantino
49,7438,Uma Thurman
75,353,tissit
78,4223,want to own
109,36,death penalty
109,904,Hitchcock
109,1219,Alfred Hitchcock
109,1258,based on a book
109,1258,Stephen King
109,2011,time travel
109,2012,time travel
109,2028,World War II
109,2117,George Orwell
109,2762,twist ending
109,3087,christmas
109,3400,dinosaur
109,3527,Arnold Schwarzenegger
109,6731,zombies
109,7360,zombies
109,7387,zombies
109,8874,zombies
109,8910,existentialism
109,27317,Takashi Miike
109,32587,comic book
109,33834,zombies
109,45081,unintentionally funny
109,45081,video game
109,52462,Based on a TV show
109,54116,Fate
127,1343,horror
127,1343,killer
127,1343,stalker
127,2080,children
127,2080,dogs
127,2080,romantic
127,2953,alone
127,2953,robbers
127,4270,egypt
127,4270,mummy
127,4447,blonde
127,4447,dog
127,4447,funny
127,5679,horror
127,5679,scary
127,6934,hacker
127,6934,matrix
127,6934,neo
127,7147,death
127,7147,dream
127,7147,fantasy
127,7147,life
127,7147,stories
127,8622,bush
127,8622,comedy
127,8622,government
133,1717,horror
133,4270,action
133,4270,adventure
133,8622,documentary
133,8622,USA
146,7,based on a play
146,10,franchise
146,16,based on a book
146,16,imdb top 250
146,26,based on a play
146,28,based on a book
146,32,biology
146,32,genetics
146,36,based on a book
146,41,based on a play
146,44,martial arts
146,47,imdb top 250
146,50,ensemble cast
146,62,high school
146,66,imdb bottom 100
146,81,Colorado
146,97,imdb top 250
146,98,directorial debut
146,101,directorial debut
146,101,texas
146,105,based on a book
146,107,based on a book
146,107,franchise
146,107,talking animals
146,116,Oscar (Best Documentary Feature)
146,145,directorial debut
146,150,based on a book
146,160,based on a book
146,165,terrorism
146,175,directorial debut
146,193,cult film
146,193,strippers
146,208,big budget
146,220,H.P. Lovecraft
146,225,based on a book
146,235,black and white
146,240,based on a book
146,240,Dean Koontz
146,253,based on a book
146,260,desert
146,260,quotable
146,261,based on a book
146,273,based on a book
146,288,brutal
146,288,satire
146,288,serial killer
146,292,biology
146,296,quotable
146,298,directorial debut
146,316,Egypt
146,318,based on a short story
146,318,directorial debut
